wave_height_m,rainfall_mm_hr,water_level_cm,sea_level_rise
0.8,0.5,35.2,8.4
1.1,0.8,38.7,11.2
1.4,1.2,42.1,14.8
1.8,2.1,45.8,19.3
2.2,3.5,49.2,24.7
2.7,5.2,52.6,31.2
3.2,7.8,56.3,39.8
3.8,11.4,59.7,49.6
4.4,15.7,63.1,61.2
5.1,21.3,66.8,74.5
5.8,28.6,70.4,89.7
6.5,35.2,74.2,106.8
0.6,0.3,32.8,6.9
0.9,0.7,36.4,9.8
1.2,1.1,40.1,13.2
1.6,1.9,43.9,17.4
2.0,3.1,47.3,22.6
2.5,4.8,50.8,28.9
3.1,7.2,54.5,36.8
3.7,10.6,58.1,46.2
4.3,14.8,61.7,57.4
5.0,19.7,65.4,70.1
5.7,26.1,69.2,85.3
6.4,32.8,72.9,102.6
0.7,0.4,29.6,7.2
1.0,0.9,33.2,10.6
1.3,1.4,37.1,14.8
1.7,2.3,41.3,19.9
2.1,3.8,45.1,26.1
2.6,5.7,48.9,33.7
3.2,8.4,52.8,43.2
3.9,12.1,56.6,54.8
4.5,16.9,60.4,68.1
5.2,22.4,64.3,83.2
5.9,29.3,68.1,100.4
6.6,36.7,71.9,119.8
0.5,0.2,31.4,5.8
0.8,0.6,34.8,8.4
1.1,1.0,38.5,11.7
1.5,1.7,42.7,15.8
1.9,2.8,46.2,20.9
2.4,4.3,49.8,27.1
3.0,6.5,53.6,34.8
3.6,9.3,57.2,44.2
4.2,13.2,60.9,55.3
4.9,17.8,64.7,68.1
5.6,23.7,68.4,82.9
6.3,30.1,72.1,99.7
0.9,0.6,33.7,8.1
1.2,1.1,37.3,11.8
1.5,1.7,41.2,16.2
1.9,2.6,45.6,21.7
2.3,4.1,49.4,28.4
2.8,6.2,53.1,36.8
3.4,9.1,56.9,47.1
4.1,12.8,60.8,59.2
4.7,17.4,64.6,73.1
5.4,23.1,68.3,88.9
6.1,30.4,72.1,107.3
6.8,38.2,75.8,127.8
0.4,0.3,28.9,5.2
0.7,0.7,32.6,7.8
1.0,1.3,36.8,11.1
1.4,2.0,41.2,15.3
1.8,3.2,44.9,20.6
2.3,4.9,48.6,27.2
2.9,7.3,52.4,35.4
3.5,10.7,56.1,45.8
4.1,15.1,59.8,58.4
4.8,20.8,63.6,73.2
5.5,27.9,67.3,90.6
6.2,35.6,71.1,110.9
0.6,0.4,30.7,6.8
0.9,0.9,34.3,9.9
1.2,1.5,38.2,13.7
1.6,2.4,42.4,18.4
2.0,3.7,46.1,24.2
2.5,5.6,49.8,31.6
3.1,8.2,53.7,40.7
3.7,11.9,57.4,51.8
4.3,16.3,61.2,64.9
5.0,22.2,64.9,80.1
5.7,29.5,68.7,97.8
6.4,37.4,72.4,118.2
0.3,0.2,27.3,4.1
0.6,0.5,31.1,6.2
0.9,1.0,35.4,9.1
1.3,1.6,39.8,12.8
1.7,2.6,43.6,17.4
2.2,4.0,47.4,23.1
2.8,6.1,51.3,30.2
3.4,8.9,55.1,38.9
4.0,12.6,58.9,49.6
4.7,17.1,62.8,62.3
5.4,23.4,66.6,77.1
6.1,30.8,70.4,94.2
0.8,0.7,34.1,9.3
1.1,1.2,37.8,13.2
1.4,1.8,41.9,17.9
1.8,2.7,46.2,23.6
2.2,4.2,50.0,30.8
2.7,6.3,53.8,39.4
3.3,9.2,57.7,50.1
3.9,13.1,61.5,62.7
4.5,18.0,65.3,77.2
5.2,24.3,69.2,93.8
5.9,31.9,73.0,112.9
6.6,40.1,76.8,134.6
0.5,0.3,29.8,5.9
0.8,0.8,33.5,8.7
1.1,1.4,37.6,12.3
1.5,2.2,42.1,16.8
1.9,3.4,45.8,22.4
2.4,5.1,49.6,29.3
3.0,7.6,53.5,38.1
3.6,10.9,57.3,48.7
4.2,15.2,61.1,61.4
4.9,20.6,64.9,76.2
5.6,27.3,68.8,93.5
6.3,34.7,72.6,113.1
1.2,1.5,45.8,18.9
2.8,8.4,58.2,42.3
4.5,18.7,67.3,71.6
6.2,31.2,75.1,108.4
0.9,0.8,39.6,12.7
3.1,10.2,60.4,48.9
5.3,22.6,70.8,86.2
7.0,38.5,78.9,127.3
1.6,2.3,52.7,23.8
3.8,12.9,63.5,59.7
5.9,26.1,73.2,94.8
7.4,42.3,81.6,139.5
0.7,0.6,36.4,9.8
2.5,6.7,55.9,36.1
4.8,19.4,68.7,78.4
6.5,33.7,76.8,118.6
1.0,1.1,41.2,15.3
3.3,9.8,61.7,52.4
5.6,24.3,72.9,91.7
7.2,39.8,80.3,133.2
1.4,1.9,48.3,21.6
3.6,13.6,64.8,63.1
6.1,27.8,74.6,98.3
7.8,44.2,82.7,145.8
